id,artist_name,key,mode,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,hit,year,explicit,sentimentPos,sentimentNeg,sentimentComp,sentimentNeu,pos_neg_diff
1Y7SunUEcwxyev6VtXRnZd,Mirah,2.0,0.0,Special Death,45,0.482,0.438,152347.0,0.181,0.00044,0.198,-11.800999999999998,0.0319,108.489,0.419,0,2002,0.0,0.247,0.332,-0.296,0.421,-0.08500000000000002
5X9sSZNmYPOGgXAd774kU8,Dash Berlin,11.0,1.0,Till The Sky Falls Down [ASOT 332] - Dub Mix,9,0.0008230000000000001,0.7190000000000001,73875.0,0.7340000000000001,0.529,0.29600000000000004,-11.799,0.047,130.032,0.958,0,2007,0.0,0.137,0.153,-0.1645,0.71,-0.015999999999999986
4ImIJRZNJhNQLLdUFSYJoS,Disturbed,10.0,0.0,Down with the Sickness,66,0.000319,0.649,278707.0,0.8959999999999999,1.19e-05,0.102,-2.704,0.056,90.009,0.924,0,2010,1.0,0.0,0.233,-0.9743,0.767,-0.233
7dmimiGLMf7GQLXFBL8piw,Potato,11.0,1.0,แชร์ (Share),1,0.51,0.5479999999999999,272120.0,0.494,0.0,0.102,-6.367000000000001,0.0267,147.808,0.206,0,2009,0.0,0.0,0.0,0.0,1.0,0.0
4RH87gcPiBZneI200rM6C5,Foo Fighters,7.0,0.0,Tired Of You,51,0.723,0.736,311280.0,0.318,0.000138,0.106,-8.27,0.0262,106.222,0.414,0,2002,0.0,0.105,0.504,-0.981,0.391,-0.399
3hWUIMNBwLNug1O8o2PPRW,Quality Control,1.0,1.0,Too Hotty,61,0.19,0.889,295997.0,0.398,0.0,0.104,-7.183,0.204,129.993,0.159,0,2017,1.0,0.103,0.265,-0.9937,0.633,-0.16200000000000003
04CitqlxhoZtA5FNICPNgO,Grave Digger,9.0,1.0,Witch Hunter - 2016 - Remaster,0,0.00139,0.224,264880.0,0.946,0.000125,0.215,-6.823,0.139,132.741,0.33,0,2016,0.0,0.137,0.149,-0.3322,0.713,-0.011999999999999983
6u8hSdYZxbK5EczDPRIXXf,Wiz Khalifa,7.0,0.0,Something New (feat. Ty Dolla $ign),67,0.0935,0.8140000000000001,200774.0,0.635,0.0,0.0892,-6.609,0.0809,87.581,0.784,0,2018,1.0,0.262,0.138,0.9191,0.6,0.124
2hYDerClhzKhhkt1orcSBj,Thievery Corporation,0.0,1.0,Un Simple Histoire - A Simple Story,46,0.129,0.6920000000000001,225440.0,0.602,0.7809999999999999,0.0983,-8.124,0.0343,91.989,0.852,0,2002,0.0,0.0,0.0,0.0,1.0,0.0
4KeTe10W4xvAOxfRC0kxpF,Mariano Barba,2.0,1.0,Aliado Del Tiempo,65,0.485,0.589,272920.0,0.479,0.0,0.077,-8.146,0.0278,136.567,0.736,0,2016,0.0,0.079,0.0,0.8402,0.921,0.079
