,id,artist_name,key,mode,track_name,rel_date,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
70,6CkydK3NOAMScIhViRzXoB,Brooks & Dunn,0.0,1.0,Ain't Nothing 'Bout You,2009-09-08,62,0.144,0.325,199413.0,0.887,1.35e-06,0.431,-4.199,0.0569,202.339,0.705
71,7fFCnttacpotkyhTOxKv14,Jennifer Lopez,1.0,0.0,Play,2001-01-23,59,0.0303,0.775,211493.0,0.729,0.00247,0.0361,-4.229,0.162,104.719,0.895
72,34Vn9nKfztyLco9lJazy4j,Lonestar,3.0,1.0,I'm Already There,2001-03-27,62,0.61,0.377,253373.0,0.395,0.0,0.295,-8.622,0.0332,133.296,0.221
73,0s9A4pUBLw68E76vY8LU9K,Lil' Romeo,1.0,1.0,My Baby,2001-01-01,38,0.0481,0.82,221000.0,0.761,0.0,0.218,-2.714,0.219,97.423,0.584
74,1VuBmEauSZywQVtqbxNqka,U2,2.0,1.0,Beautiful Day,2000-01-01,65,0.014,0.539,246400.0,0.926,0.00136,0.36,-6.495,0.0499,136.279,0.454
75,2WQAknZHrJAEQOFXe0F44P,Blake Shelton,7.0,1.0,Austin,2001-07-31,65,0.188,0.605,230333.0,0.609,0.0,0.0982,-7.063,0.0278,119.914,0.275
76,4cNhx6OO1XpvwT6xZnb83B,Ludacris,0.0,1.0,Southern Hospitality (Featuring Pharrell),2000-01-01,54,0.035,0.623,300933.0,0.896,0.0,0.0941,-4.719,0.247,95.158,0.613
77,4RtDZMumlKxsN7IL3AJPUx,Tim McGraw,10.0,1.0,Grown Men Don't Cry,2001-04-24,44,0.199,0.657,235760.0,0.513,0.0,0.0994,-8.514,0.024,101.815,0.56
78,52gqeRlrBE7hqMlRxEsi6y,Ja Rule,6.0,1.0,Livin' It Up,2001-01-01,67,0.0554,0.874,257067.0,0.768,0.0,0.041,-4.086,0.311,106.095,0.636
79,4igqjAFcH35y4XybHzJ3aD,Mariah Carey,1.0,1.0,Loverboy (Remix),2001-09-11,42,0.195,0.731,270400.0,0.897,0.0,0.391,-2.845,0.113,103.001,0.832
80,7HjJQunSPwkXXVnGeItUEH,The Isley Brothers,4.0,0.0,Contagious,2001-01-01,52,0.24,0.709,346467.0,0.449,0.0,0.134,-7.251,0.04,113.023,0.204
81,0rK4HCKzv2r1IXqKX3DKpq,Jessica Andrews,7.0,1.0,Who I Am,2000-02-27,59,0.0115,0.463,255234.0,0.674,0.0,0.123,-5.422,0.0319,84.039,0.259
82,6IFOw9Ck9mWHRQgw6QrPYx,Erick Sermon,10.0,0.0,Music (feat. Marvin Gaye),2001-08-27,59,0.187,0.897,223133.0,0.466,1.35e-06,0.0757,-9.053,0.203,100.01,0.884
83,6f67kjvFmXZTA47K8JNVBU,Willa Ford,9.0,0.0,I Wanna Be Bad,2001-07-17,53,0.234,0.647,183560.0,0.818,1.89e-05,0.216,-3.47,0.0647,180.019,0.816
84,04ccQGJ1i8gL7JoeCPiJbv,Kenny Chesney,7.0,1.0,Don't Happen Twice,2000-09-25,51,0.00626,0.499,203067.0,0.708,1.15e-05,0.0423,-7.029,0.0301,158.785,0.617
85,3TNoNv8Z80M3pfm6CcODsh,Diamond Rio,4.0,1.0,One More Day,2001-02-02,57,0.592,0.668,216173.0,0.405,0.0,0.115,-7.629,0.0277,131.064,0.234
86,7sOqd1dVmfU5mgqrUtlqc5,R. Kelly,6.0,1.0,I Wish,2000-11-07,47,0.068,0.42,334000.0,0.463,0.0,0.119,-9.056,0.12,78.83,0.659
87,3oW6SWwGqiZSPTiAp7ZQoH,Travis Tritt,7.0,1.0,It's A Great Day To Be Alive,2000-10-01,72,0.246,0.595,241533.0,0.653,0.0,0.264,-4.935,0.0265,128.93,0.542
